officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Lallaguda S.O,500017,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463789,NA,Secunderabad H.O,NA,NA
Lallapet S.O,500017,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463738,NA,Secunderabad H.O,NA,NA
Madanapalli B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Madireddipalli B.O,501111,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Nawabpet S.O (K.V.Rangareddy),Vikarabad H.O,NA,NA
Maharajpet B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Mailwar B.O,501143,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Basheerabad S.O,Vikarabad H.O,NA,NA
Malasomaram B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Malkajgiri S.O,500047,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,Hyderabad,TELANGANA,040-23463773,NA,Trimulgherry H.O,NA,NA
Malkapur B.O,501158,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,CCI Tandur S.O,Vikarabad H.O,NA,NA
Malkapur B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Malwardevrampalli B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Manchanpalli B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Manneguda B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Manovikasnagar S.O,500009,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463774,NA,Trimulgherry H.O,NA,NA
Manthangod B.O,501143,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Basheerabad S.O,Vikarabad H.O,NA,NA
Manthatti B.O,501141,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Tandur S.O,Vikarabad H.O,NA,NA
Marpallikalan B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Mathrusri Nagar S.O,500049,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Serilingampally,K.V.Rangareddy,TELANGANA,NA,NA,Trimulgherry H.O,NA,NA
Medchal S.O,501401,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08418-220022,NA,Trimulgherry H.O,NA,NA
Medipalli B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Medpalli B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Mekavanampalli B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
MG Road S.O,500003,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463739,NA,Secunderabad H.O,NA,NA
Mittabaspalle B.O,501158,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,CCI Tandur S.O,Vikarabad H.O,NA,NA
Mittakorud B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Miyapur S.O,500049,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463775,NA,Trimulgherry H.O,NA,NA
Moinabad S.O,501504,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08417-252042,NA,Vikarabad H.O,NA,NA
Mokila B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Mombapur B.O,501142,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Peddimal S.O,Vikarabad H.O,NA,NA
Mominkalan B.O,501121,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Dharur S.O,Vikarabad H.O,NA,NA
Mominpet S.O,501202,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08416-255691,NA,Vikarabad H.O,NA,NA
Morangpalli B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Mothukapalli B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Moulali S.O,500040,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463740,NA,Secunderabad H.O,NA,NA
Mubarakpur B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Mudchintanapalli B.O,500101,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Shamirpet S.O,Trimulgherry H.O,NA,NA
Mudgul Chittempalle B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Mudimial B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Mujahidpur B.O,501502,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Bompalli S.O,Vikarabad H.O,NA,NA
Munnur Somaram B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Musheerabad (Delivery) S.O,500020,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463741,NA,Secunderabad H.O,NA,NA
Musheerabad (ND) S.O,500020,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Musheerabad,Hyderabad,TELANGANA,NA,NA,Secunderabad H.O,NA,NA
Nagaram S.O (K.V.Rangareddy),500083,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,Hyderabad,TELANGANA,040-23463835,NA,Secunderabad H.O,NA,NA
Nagasamunder B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Nagawaram B.O,501121,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Dharur S.O,Vikarabad H.O,NA,NA
Nagulapalli B.O,501142,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Peddimal S.O,Vikarabad H.O,NA,NA
Narayanpur B.O,501141,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Tandur S.O,Vikarabad H.O,NA,NA
Naskal B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Navalga B.O,501143,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Basheerabad S.O,Vikarabad H.O,NA,NA
Nawabpet S.O (K.V.Rangareddy),501111,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08416-237222,NA,Vikarabad H.O,NA,NA
Nehrunagar S.O (Hyderabad),500026,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463744,NA,Secunderabad H.O,NA,NA
Neredmet S.O,500056,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463776,NA,Trimulgherry H.O,NA,NA
Ngri S.O,500007,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463745,NA,Secunderabad H.O,NA,NA
Nisa Hakimpet S.O,500078,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463777,NA,Trimulgherry H.O,NA,NA
Nizampet  S.O,500090,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Qutubullapur,Hyderabad,TELANGANA,NA,NA,Trimulgherry H.O,NA,NA
Nizampet Medpalli B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Nutankal B.O,501401,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Medchal S.O,Trimulgherry H.O,NA,NA
Nyalata B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Orella B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Padmaraonagar S.O,500025,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463746,NA,Secunderabad H.O,NA,NA
Pagdyal B.O,501144,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yalal S.O,Vikarabad H.O,NA,NA
Pamena B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Panchalingal B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Parveda B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Patloor B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Peda Umenthyal B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Pedda Mangalaram B.O,501504,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Moinabad S.O,Vikarabad H.O,NA,NA
Peddalaxmapur B.O,500101,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,NA,Shamirpet S.O,Trimulgherry H.O,NA,NA
Peddimal S.O,501142,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08416-255691,NA,Vikarabad H.O,NA,NA
Peta Madaram B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Phulmaddi B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Picket S.O,500009,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463749,NA,Secunderabad H.O,NA,NA
Pochampally B.O,500100,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Komplly S.O,Trimulgherry H.O,NA,NA
Ponnal B.O,500078,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Nisa Hakimpet S.O,Trimulgherry H.O,NA,NA
Pragatinagar B.O,500090,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Nizampet  S.O,Trimulgherry H.O,NA,NA
Prakashamnagar S.O,500016,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463750,NA,Secunderabad H.O,78.4468,17.4672
Pratapsingaram B.O,500088,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Samskruthi S.O,Secunderabad H.O,NA,NA
Proddatur B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Pudur B.O,501102,B.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Pudur B.O,501401,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Medchal S.O,Trimulgherry H.O,NA,NA
Pulapalli B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Pulmamidi B.O,501111,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Nawabpet S.O (K.V.Rangareddy),Vikarabad H.O,NA,NA
Pulusmamidi B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Purgi S.O,501501,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08412-222222,NA,Vikarabad H.O,NA,NA
Rail Nilayam S.O,500025,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463748,NA,Secunderabad H.O,NA,NA
Rajbolaram B.O,501401,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Medchal S.O,Trimulgherry H.O,NA,NA
Rajeevagruhakalpa B.O,500088,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,NA,Samskruthi S.O,Secunderabad H.O,NA,NA
Ramakrishna Puram S.O,500056,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463779,NA,Secunderabad H.O,NA,NA
Ramanathgudpally B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Ramapur B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Rampallidiara B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Rangareddynagar S.O,500037,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463302,NA,Trimulgherry H.O,NA,NA
Rasnam B.O,501121,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Dharur S.O,Vikarabad H.O,NA,NA
Ravalkol B.O,501401,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Medchal S.O,Trimulgherry H.O,NA,NA
Ravulapalli B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Regad Ghanapur B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Regadi Doswada B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Shabad,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Regondi B.O,501142,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Peddimal S.O,Vikarabad H.O,NA,NA
Riapol B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Rompalli B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Rompalli B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Rupkhanpet B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Sainikpuri S.O,500094,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463780,NA,Trimulgherry H.O,NA,NA
Salbathapur B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Samskruthi S.O,500088,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-27196222,NA,Secunderabad H.O,NA,NA
Sangamkalan B.O,501158,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,CCI Tandur S.O,Vikarabad H.O,NA,NA
Secunderabad H.O,500003,H.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463713,NA,NA,NA,NA
Shamirpet S.O,500101,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Shamirpet Mandal,Hyderabad,TELANGANA,NA,NA,Trimulgherry H.O,NA,NA
Shankarpalli S.O,501203,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08541-222222,NA,Vikarabad H.O,NA,NA
Siddaloor B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Singapur B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Sirpura B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Sitaphalmandi S.O,500061,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463751,NA,Secunderabad H.O,NA,NA
Sivareddipalli B.O,501502,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Bompalli S.O,Vikarabad H.O,NA,NA
Sivareddypet B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Somangurthi B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Srirangavaram B.O,500043,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Airforce Academy S.O,Trimulgherry H.O,NA,NA
Suchitra Junction S.O,500067,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,Hyderabad,TELANGANA,040-23463740,NA,Trimulgherry H.O,NA,NA
Sultanpur B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Surangal B.O,501504,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Moinabad S.O,Vikarabad H.O,NA,NA
Suraram B.O,500055,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,NA,IDA Jeedimetla S.O,Trimulgherry H.O,NA,NA
Syedpalli B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Tandur S.O,501141,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08411-272073,NA,Vikarabad H.O,NA,NA
Tangadpalli B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Tangutoor B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Tarigopula B.O,501121,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Dharur S.O,Vikarabad H.O,NA,NA
Tarnaka S.O,500007,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463752,NA,Secunderabad H.O,NA,NA
Tekulapalli B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Thattepalli B.O,501142,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Peddimal S.O,Vikarabad H.O,NA,NA
Thimmaipalli B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Thumkunta B.O,500078,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Nisa Hakimpet S.O,Trimulgherry H.O,NA,NA
Thummalapalli B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Timmaipalli B.O,501144,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yalal S.O,Vikarabad H.O,NA,NA
Trimulgherry H.O,500015,H.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,Hyderabad,TELANGANA,040-23463755,NA,NA,NA,NA
Turkapalliyadaram B.O,500101,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Shamirpet S.O,Trimulgherry H.O,NA,NA
Turmamidi B.O,501142,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Peddimal S.O,Vikarabad H.O,NA,NA
Uddemarri B.O,500078,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Shameerpet,K.V.Rangareddy,TELANGANA,NA,Nisa Hakimpet S.O,Trimulgherry H.O,NA,NA
Velchal B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Venkatadri B.O,500088,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Ghatkesar,K.V.Rangareddy,TELANGANA,NA,Samskruthi S.O,Secunderabad H.O,NA,NA
Venkatapur B.O,501504,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Moinabad S.O,Vikarabad H.O,NA,NA
